금융회사명,상품명,가입방법,만기이자,우대조건,가입대상,금리유형,적립유형,저축기간(개월),기본금리(%),최고우대금리(%),금융권
부산은행,ONE신용대출-소액대출,"모바일,영업점",원리금균등상환,없음,"공통
급여소득자 : 3개월 이상
개인사업자 : 3개월 이상
연금소득자 : 연금 1회 이상 수령
연소득 1,200만원
KCB 625점 이상 & NICE 675점 이상
공적연금(국민연금, 공무원연금, 군인연금, 사학연금)만 가능하며, 기초연금은 불가.
단, 비대면 채널은 국민연금 限
공통
연소득 1,200만원
KCB 625점 이상 & NICE 675점 이상
 급여소득자 : 3개월 이상
 개인사업자 : 3개월 이상

연금소득자 : 연금 1회 이상 수령
공적연금(국민연금, 공무원연금, 군인연금, 사학연금)만 가능하며, 기초연금은 불가.
단, 비대면 채널은 국민연금 限",고정금리,대출,최대 48개월,6.90%,6.90%,1금융권
SC제일은행,모바일소액대출,모바일,원리금균등상환,없음,"금융권 주택담보대출 또는 신용카드를 보유한 고객중 SC제일은행 신용평가시스템(은행내부신용등급 1~9등급)에 의하여 자동승인을 받은고객
NICE 신용평가정보㈜의 신용평점(CB평점)이 601점 이상인 고객(단, CB평점에 따라 대출한 도 및 적용금리가 달라질 수 있음)
소득/재직 확인(국민건강보험공단) : 만 20세 이상 (금융거래기간 1년 이상자)
추정소득(신용평가사) : 만 24세 이상
금융권 주택담보대출 또는 신용카드를 보유한 고객중 SC제일은행 신용평가시스템(은행내부신용등급 1~9등급)에 의하여 자동승인을 받은고객
 NICE 신용평가정보㈜의 신용평점(CB평점)이 601점 이상인 고객(단, CB평점에 따라 대출한 도 및 적용금리가 달라질 수 있음)
 소득/재직 확인(국민건강보험공단) : 만 20세 이상 (금융거래기간 1년 이상자)
 추정소득(신용평가사) : 만 24세 이상",고정금리,대출,최대 48개월,10.85%,10.85%,1금융권
iM뱅크,쓰담쓰담 간편대출,"앱 신청 및 실행
앱 신청 및 실행",원리금균등상환,없음,"직업에 관계없이 만 20세 이상인 대한민국 국민
직업에 관계없이 만 20세 이상인 대한민국 국민",고정금리,대출,"***1년 ~ 3년이내 (연단위)
***1년 ~ 3년이내 (연단위)",12.44%,12.44%,1금융권
iM뱅크,핀크비상금대출,모바일,원리금균등상환,없음,"대한민국 국민으로서 국내에 거주하고 있는 만 20세 이상 성인
DGBiM뱅크 대출심사 통과 고객 (자동심사)
제외대상 : 미성년자, 재외국민, 외국인, 해외체류자 등
대한민국 국민으로서 국내에 거주하고 있는 만 20세 이상 성인
 DGBiM뱅크 대출심사 통과 고객 (자동심사)
 제외대상 : 미성년자, 재외국민, 외국인, 해외체류자 등",고정금리,대출,최대 48개월,12.48%,12.48%,1금융권
신한은행,원스탑 대환대출,"모바일,인터넷,영업점",원리금균등상환,없음,"신한 신용카드 보유회원 또는 비회원
만 19세 이상 개인(개인사업자, 외국인 제외)
신한 신용카드 보유회원 또는 비회원
만 19세 이상 개인(개인사업자, 외국인 제외)",고정금리,대출,"2~48개월
2~48개월",13.05%,13.05%,1금융권
신한은행,장기카드대출,"모바일,인터넷,영업점",원리금균등상환,없음,,고정금리,대출,"최대 48개월
최대 48개월",13.20%,13.20%,1금융권
신한은행,가계신용대출,"모바일,인터넷,영업점",원리금균등상환,없음,,고정금리,대출,"2~36개월
2~36개월",14.08%,14.08%,1금융권
스마트저축은행,비상금대출,"APP을 통한 대출신청 및 전자약정
APP을 통한 대출신청 및 전자약정",원리금균등상환,없음,"ㆍ만19세 이상 내국인 (단, 만 남31세, 여29세 이하는 소득증빙 필수)
ㆍNICE 신용평점 601점 이상인 내부 심사 기준 통과자
ㆍ만19세 이상 내국인 (단, 만 남31세, 여29세 이하는 소득증빙 필수)
ㆍNICE 신용평점 601점 이상인 내부 심사 기준 통과자",고정금리,대출,"12개월 ~ 최장 60개월
12개월 ~ 최장 60개월",14.35%,14.35%,2금융권
다올저축은행,Fi 비상금 자동대출,"모바일 앱
모바일 앱",원리금균등상환,없음,"만32세 이상 소득 있는 모든 고객(신용점수(NICE기준) 560점 이상인 자)
만32세 이상 소득 있는 모든 고객(신용점수(NICE기준) 560점 이상인 자)",고정금리,대출,"60개월 이내
60개월 이내",17%,17%,2금융권
스마트저축은행,Smart-I 비상금 자동대출,"스마트폰
스마트폰",원리금균등상환,없음,"만 19세 이상(단, 만 남31세, 여29세 이하는 소득증빙 필수)
(NICE신용평점 601점 이상인 내부 심사 기준 통과자)
만 19세 이상(단, 만 남31세, 여29세 이하는 소득증빙 필수)
(NICE신용평점 601점 이상인 내부 심사 기준 통과자)",고정금리,대출,"12개월 ~ 최장 60개월
12개월 ~ 최장 60개월",18.03%,18.03%,2금융권
