금융회사명,상품명,가입방법,만기이자,우대조건,가입대상,금리유형,저축기간(개월),기본금리(%),최고우대금리(%),금융권
BNK저축은행,삼삼한정기예금(회전정기예금)(1년단위 변동금리),"영업점,인터넷,스마트폰","* 1개월내 
: 당초 약정이율 또는 만기시 동일상품 동일계약기간의 신규 약정이율(단리) 중 낮은 이율 적용
* 1개월이후
: 보통예금 금리 적용",없음,제한없음,단리,12,2.8,2.8,2금융권
BNK저축은행,정기예금(대면),영업점,"* 1개월내 
: 당초 약정이율 또는 만기시 동일상품 동일계약기간의 신규 약정이율(단리) 중 낮은 이율 적용
* 1개월이후
: 보통예금 금리 적용","비대면, 인터넷,모바일 가입시 0.1%우대",제한없음,단리,1,1.2,1.2,2금융권
BNK저축은행,정기예금(대면),영업점,"* 1개월내 
: 당초 약정이율 또는 만기시 동일상품 동일계약기간의 신규 약정이율(단리) 중 낮은 이율 적용
* 1개월이후
: 보통예금 금리 적용","비대면, 인터넷,모바일 가입시 0.1%우대",제한없음,단리,3,1.5,1.5,2금융권
BNK저축은행,정기예금(대면),영업점,"* 1개월내 
: 당초 약정이율 또는 만기시 동일상품 동일계약기간의 신규 약정이율(단리) 중 낮은 이율 적용
* 1개월이후
: 보통예금 금리 적용","비대면, 인터넷,모바일 가입시 0.1%우대",제한없음,단리,6,2.5,2.5,2금융권
BNK저축은행,정기예금(대면),영업점,"* 1개월내 
: 당초 약정이율 또는 만기시 동일상품 동일계약기간의 신규 약정이율(단리) 중 낮은 이율 적용
* 1개월이후
: 보통예금 금리 적용","비대면, 인터넷,모바일 가입시 0.1%우대",제한없음,단리,12,2.7,2.7,2금융권
BNK저축은행,정기예금(대면),영업점,"* 1개월내 
: 당초 약정이율 또는 만기시 동일상품 동일계약기간의 신규 약정이율(단리) 중 낮은 이율 적용
* 1개월이후
: 보통예금 금리 적용","비대면, 인터넷,모바일 가입시 0.1%우대",제한없음,단리,24,2.2,2.2,2금융권
BNK저축은행,정기예금(대면),영업점,"* 1개월내 
: 당초 약정이율 또는 만기시 동일상품 동일계약기간의 신규 약정이율(단리) 중 낮은 이율 적용
* 1개월이후
: 보통예금 금리 적용","비대면, 인터넷,모바일 가입시 0.1%우대",제한없음,단리,36,2.0,2.0,2금융권
BNK저축은행,"정기예금(비대면,인터넷,모바일)","인터넷,스마트폰","* 1개월내 
: 당초 약정이율 또는 만기시 동일상품 동일계약기간의 신규 약정이율(단리) 중 낮은 이율 적용
* 1개월이후
: 보통예금 금리 적용",없음,제한없음,단리,1,1.3,1.3,2금융권
BNK저축은행,"정기예금(비대면,인터넷,모바일)","인터넷,스마트폰","* 1개월내 
: 당초 약정이율 또는 만기시 동일상품 동일계약기간의 신규 약정이율(단리) 중 낮은 이율 적용
* 1개월이후
: 보통예금 금리 적용",없음,제한없음,단리,3,1.6,1.6,2금융권
BNK저축은행,"정기예금(비대면,인터넷,모바일)","인터넷,스마트폰","* 1개월내 
: 당초 약정이율 또는 만기시 동일상품 동일계약기간의 신규 약정이율(단리) 중 낮은 이율 적용
* 1개월이후
: 보통예금 금리 적용",없음,제한없음,단리,6,2.6,2.6,2금융권
BNK저축은행,"정기예금(비대면,인터넷,모바일)","인터넷,스마트폰","* 1개월내 
: 당초 약정이율 또는 만기시 동일상품 동일계약기간의 신규 약정이율(단리) 중 낮은 이율 적용
* 1개월이후
: 보통예금 금리 적용",없음,제한없음,단리,12,2.8,2.8,2금융권
BNK저축은행,"정기예금(비대면,인터넷,모바일)","인터넷,스마트폰","* 1개월내 
: 당초 약정이율 또는 만기시 동일상품 동일계약기간의 신규 약정이율(단리) 중 낮은 이율 적용
* 1개월이후
: 보통예금 금리 적용",없음,제한없음,단리,24,2.3,2.3,2금융권
BNK저축은행,"정기예금(비대면,인터넷,모바일)","인터넷,스마트폰","* 1개월내 
: 당초 약정이율 또는 만기시 동일상품 동일계약기간의 신규 약정이율(단리) 중 낮은 이율 적용
* 1개월이후
: 보통예금 금리 적용",없음,제한없음,단리,36,2.1,2.1,2금융권
CK저축은행,정기예금(강릉지점),영업점,- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,제한없음,단리,1,2.1,2.1,2금융권
CK저축은행,정기예금(강릉지점),영업점,- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,제한없음,단리,3,2.1,2.1,2금융권
CK저축은행,정기예금(강릉지점),영업점,- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,제한없음,단리,6,2.5,2.5,2금융권
CK저축은행,정기예금(강릉지점),영업점,- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,제한없음,단리,6,2.6,2.6,2금융권
CK저축은행,정기예금(강릉지점),영업점,- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,제한없음,단리,12,3.1,3.1,2금융권
