금융회사명,상품명,가입방법,만기이자,우대조건,가입대상,금리유형,적립유형,저축기간(개월),기본금리(%),최고우대금리(%),금융권
BNK저축은행,정기적금,"영업점,인터넷,스마트폰","* 1개월내 
: 당초 약정이율 또는 만기시 동일상품 동일계약기간의 신규 약정이율(단리) 중 낮은 이율 적용
* 1개월이후
: 보통예금 금리 적용",없음,제한없음,복리,정액적립식,6,2.8,2.8,2금융권
BNK저축은행,정기적금,"영업점,인터넷,스마트폰","* 1개월내 
: 당초 약정이율 또는 만기시 동일상품 동일계약기간의 신규 약정이율(단리) 중 낮은 이율 적용
* 1개월이후
: 보통예금 금리 적용",없음,제한없음,복리,정액적립식,12,3.3,3.3,2금융권
BNK저축은행,정기적금,"영업점,인터넷,스마트폰","* 1개월내 
: 당초 약정이율 또는 만기시 동일상품 동일계약기간의 신규 약정이율(단리) 중 낮은 이율 적용
* 1개월이후
: 보통예금 금리 적용",없음,제한없음,복리,정액적립식,24,3.4,3.4,2금융권
BNK저축은행,정기적금,"영업점,인터넷,스마트폰","* 1개월내 
: 당초 약정이율 또는 만기시 동일상품 동일계약기간의 신규 약정이율(단리) 중 낮은 이율 적용
* 1개월이후
: 보통예금 금리 적용",없음,제한없음,복리,정액적립식,36,3.5,3.5,2금융권
CK저축은행,정기적금,영업점,- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,제한없음,복리,자유적립식,6,3.5,3.5,2금융권
CK저축은행,정기적금,영업점,- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,제한없음,단리,정액적립식,6,2.0,2.0,2금융권
CK저축은행,정기적금,영업점,- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,제한없음,복리,정액적립식,6,1.6,1.6,2금융권
CK저축은행,정기적금,영업점,- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,제한없음,복리,자유적립식,12,3.7,3.7,2금융권
CK저축은행,정기적금,영업점,- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,제한없음,단리,정액적립식,12,3.5,3.5,2금융권
CK저축은행,정기적금,영업점,- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,제한없음,복리,자유적립식,24,3.6,3.6,2금융권
CK저축은행,정기적금,영업점,- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,제한없음,단리,정액적립식,24,3.0,3.0,2금융권
CK저축은행,정기적금,영업점,- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,제한없음,복리,정액적립식,24,3.5,3.5,2금융권
CK저축은행,정기적금,영업점,- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,제한없음,복리,자유적립식,36,3.6,3.6,2금융권
CK저축은행,정기적금,영업점,- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,제한없음,단리,정액적립식,36,3.0,3.0,2금융권
CK저축은행,정기적금,영업점,- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,제한없음,복리,정액적립식,36,3.5,3.5,2금융권
CK저축은행,"정기적금(인터넷,모바일,비대면)","인터넷,스마트폰",- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,제한없음,단리,정액적립식,6,2.7,2.7,2금융권
